reference_id,type,title,path_or_url,usage_rule,notes
city-mars,book-local,A City on Mars,/home/lachlan/ProjectsLFS/ZhJpBook/build/a-city-on-mars,"Motifs only; no copied passages","Use for habitat logistics, settlement ethics, law, risk, mundane survival constraints"
sirens-mars,book-local,The Sirens of Mars,/home/lachlan/ProjectsLFS/ZhJpBook/build/the-sirens-of-mars,"Motifs only; no copied passages","Use for projection, false canals, Mars as mirror, desire versus evidence"
red-mars,book-local,Red Mars,/home/lachlan/ProjectsLFS/ZhJpBook/build/red-mars,"Motifs only; no copied passages","Use for competing settlement visions, ecology versus transformation, governance conflict"
martian-chronicles,book-local,The Martian Chronicles,/home/lachlan/ProjectsLFS/ZhJpBook/build/martian-chronicles,"Motifs only; no copied passages","Use for lyrical fragmented memory, haunted settlements, poetic encounters"
the-martian,book-local,The Martian,/home/lachlan/ProjectsLFS/ZhJpBook/build/the-martian,"Motifs only; no copied passages","Use for survival engineering, humor under constraint, practical repair"
red-rising-1,book-local,Red Rising 1,/home/lachlan/ProjectsLFS/ZhJpBook/build/red-rising-1,"Motifs only; no copied passages","Use abstractly for hierarchy, caste pressure, identity transformation"
red-rising-2,book-local,Red Rising 2,/home/lachlan/ProjectsLFS/ZhJpBook/build/red-rising-2,"Motifs only; no copied passages","Use abstractly for rebellion becoming power, political escalation"
red-rising-3,book-local,Red Rising 3,/home/lachlan/ProjectsLFS/ZhJpBook/build/red-rising-3,"Motifs only; no copied passages","Use abstractly for aftermath, alliances, cost of victory"
sanxingdui,book-local,Sanxingdui Polished Booklike Pocket,/home/lachlan/ProjectsLFS/ZhJpBook/build/sanxingdui-polished-booklike-pocket,"Motifs only; no copied passages","Use for bronze masks, gold birds, sacred trees, ritual pits, artifact mystery"
japanese-history,book-local,Japanese History,/home/lachlan/ProjectsLFS/ZhJpBook/build/japanese-history,"Motifs only; no copied passages","Use for gates, ritual order, bridges, court rules, waterworks, social hierarchy"
voidabyss,project-local,VoidAbyss,/home/lachlan/Documents/VoidAbyss,"Use as cross-project motif system; avoid copying internal prose into LALACHAN unless intentional","Paper kite, ordinary suffering, rifts, responsibility, shared governance"
red-sand-synthesis,workflow,Red Sand / VoidAbyss Source Synthesis,references/red-sand-voidabyss-source-synthesis-2026-06-07.md,"Internal story planning reference","Book-by-book motif synthesis and original arc"
red-sand-roadmap,workflow,Red Sand Paper Kite Original Continuation Roadmap,references/red-sand-paper-kite-original-continuation-roadmap-2026-06-07.md,"Internal story planning reference","Original 20-episode continuation and second-season direction"
trio-image,visual-asset,Trio character reference,/home/lachlan/ProjectsLFS/LALACHAN/Trio.png,"Use for visual consistency","Lala Xia, Aya Chan, Sasa Kun"
lightmind-display,visual-asset,LightMind AI glasses display,/home/lachlan/ProjectsLFS/LALACHAN/display.png,"Use for LightMind AI glasses and AR display reference","Sold at lightmind.art"
aya-notebook,visual-asset,Aya handmade notebook,/home/lachlan/ProjectsLFS/LALACHAN/patchwork-leather-notebook-luxury-clean-v2.png,"Use as notebook, map, menu, score, protocol, card","Sold at buy.layzing.art"
lala-sasa-r1,visual-asset,R1 costume reference,/home/lachlan/ProjectsLFS/LALACHAN/R1.jpg.jpeg,"Use if enough reference slots","New clothes reference"
lala-sasa-r3,visual-asset,R3 costume reference,/home/lachlan/ProjectsLFS/LALACHAN/R3.jpg.jpeg,"Use if enough reference slots","New clothes reference"
lazyingart-robot,visual-asset,LazyingArtRobot,/home/lachlan/ProjectsLFS/LALACHAN/LazyingArtRobot.png,"Use as recurring robot character","White robot with LazyingArt panda logo"
words-card-enjp,visual-asset,Words card English Japanese,/home/lachlan/ProjectsLFS/LALACHAN/words-card.jpg,"Use as physical desktop word-card prop","E-ink-like word card with English and Japanese"
words-card-arabic,visual-asset,Words card Arabic,/home/lachlan/ProjectsLFS/LALACHAN/words_card_arabic.JPG,"Use as multilingual word-card reference","Shows English, Japanese, Arabic layout"
words-card-yield,generated-asset,Generated yield words-card widget,references/aginti/words-card-widget-yield-2026-06-07.png,"Concept art only; markdown text is canonical","Generated by aginti image"
chip-series-bible,workflow,Chip Factory Adventures series bible,references/series/chip-factory-adventures/series-bible.md,"Use for educational chip stories","One concept per episode; story-first teaching"
robot-ar-series-bible,workflow,Robot Drone And AR Lab series bible,references/series/robot-drone-ar-glass/series-bible.md,"Use for robotics and AR stories","Physical AI, drones, hands, perception, latency"
nvidia-blackwell,web-primary,NVIDIA Blackwell architecture,https://www.nvidia.com/en-us/data-center/technologies/blackwell-architecture/,"Use as current technical reference","Tensor cores, Transformer Engine, AI factories"
nvidia-grace-hopper,web-primary,NVIDIA Grace Hopper Superchip,https://www.nvidia.com/en-us/data-center/grace-hopper-superchip/,"Use as current technical reference","CPU+GPU coherent memory via NVLink-C2C"
apple-vision-pro,web-primary,Apple Vision Pro introduction,https://www.apple.com/newsroom/2023/06/introducing-apple-vision-pro/,"Use as current technical reference","Spatial computing, eye/hand/voice input, R1 low-latency path"
mediatek-ai,web-primary,MediaTek Edge AI,https://www.mediatek.com/technology/ai,"Use as current technical reference","NPU and edge AI concepts"
arm-isa,web-primary,Arm ISA glossary,https://www.arm.com/glossary/isa,"Use as current technical reference","Instruction Set Architecture explanation"
riscv-specs,web-primary,RISC-V specifications,https://riscv.org/technical/specifications/,"Use as current technical reference","Open ISA specs"
foxconn-ai-factory,web-primary,Foxconn AI factory partnership,https://www.foxconn.com/en-us/press-center/events/csr-events/1599,"Use as current technical reference","AI factory, smart manufacturing"
nvidia-gr00t,web-primary,NVIDIA Isaac GR00T,https://developer.nvidia.com/isaac/gr00t,"Use as current technical reference","Humanoid robotics foundation-model platform"
dji-mini-4-pro,web-primary,DJI Mini 4 Pro,https://www.dji.com/mini-4-pro,"Use as current technical reference","Obstacle sensing and ActiveTrack"
shadow-robot,web-primary,Shadow Robot,https://shadowrobot.com/,"Use as current technical reference","Dexterous hands and tactile sensing"
